# BinLowEdge	BinHighEdge	BinContent	BinError
0	0.1	0	0
0.1	0.2	0	0
0.2	0.3	0	0
0.3	0.4	0	0
0.4	0.5	0	0
0.5	0.6	0	0
0.6	0.7	0	0
0.7	0.8	0	0
0.8	0.9	0	0
0.9	1	0	0
1	1.1	0	0
1.1	1.2	0	0
1.2	1.3	0	0
1.3	1.4	0	0
1.4	1.5	0	0
1.5	1.6	0	0
1.6	1.7	0.000887874	0.000237294
1.7	1.8	0.00386859	0.000495323
1.8	1.9	0.00310756	0.000443937
1.9	2	0.00285388	0.000425432
2	2.1	0.00431253	0.000522971
2.1	2.2	0.00304414	0.000439384
2.2	2.3	0.00304414	0.000439384
2.3	2.4	0.00317098	0.000448444
2.4	2.5	0.00317098	0.000448444
2.5	2.6	0.0029173	0.000430133
2.6	2.7	0.0029173	0.000430133
2.7	2.8	0.00279046	0.000420678
2.8	2.9	0.0029173	0.000430133
2.9	3	0.00348808	0.000470332
3	3.1	0.00304414	0.000439384
3.1	3.2	0.0032344	0.000452906
3.2	3.3	0.00272704	0.00041587
3.3	3.4	0.00342466	0.000466037
3.4	3.5	0.00329782	0.000457325
3.5	3.6	0.00329782	0.000457325
3.6	3.7	0.00336124	0.000461702
3.7	3.8	0.00336124	0.000461702
3.8	3.9	0.0032344	0.000452906
3.9	4	0.00380518	0.000491246
4	4.1	0.00329782	0.000457325
4.1	4.2	0.00298072	0.000434783
4.2	4.3	0.00412227	0.000511305
4.3	4.4	0.00361492	0.000478807
4.4	4.5	0.0032344	0.000452906
4.5	4.6	0.0029173	0.000430133
4.6	4.7	0.00342466	0.000466037
4.7	4.8	0.00329782	0.000457325
4.8	4.9	0.0032344	0.000452906
4.9	5	0.0029173	0.000430133
5	5.1	0.00304414	0.000439384
5.1	5.2	0.00247336	0.000396055
5.2	5.3	0.00247336	0.000396055
5.3	5.4	0.00228311	0.000380518
5.4	5.5	0.0026002	0.000406083
5.5	5.6	0.00336124	0.000461702
5.6	5.7	0.00285388	0.000425432
5.7	5.8	0.0029173	0.000430133
5.8	5.9	0.00317098	0.000448444
5.9	6	0.00253678	0.000401101
6	6.1	0.00304414	0.000439384
6.1	6.2	0.0026002	0.000406083
6.2	6.3	0.00298072	0.000434783
6.3	6.4	0.00272704	0.00041587
6.4	6.5	0.00215627	0.000369797
6.5	6.6	0.00317098	0.000448444
6.6	6.7	0.00240994	0.000390945
6.7	6.8	0.00240994	0.000390945
6.8	6.9	0.00228311	0.000380518
6.9	7	0.00209285	0.000364318
7	7.1	0.00247336	0.000396055
7.1	7.2	0.00234652	0.000385766
7.2	7.3	0.00247336	0.000396055
7.3	7.4	0.00272704	0.00041587
7.4	7.5	0.00272704	0.00041587
7.5	7.6	0.00215627	0.000369797
7.6	7.7	0.00240994	0.000390945
7.7	7.8	0.00272704	0.00041587
7.8	7.9	0.00183917	0.000341525
7.9	8	0.00209285	0.000364318
8	8.1	0.00304414	0.000439384
8.1	8.2	0.00317098	0.000448444
8.2	8.3	0.00215627	0.000369797
8.3	8.4	0.00133181	0.000290625
8.4	8.5	0.00190259	0.000347363
8.5	8.6	0.00234652	0.000385766
8.6	8.7	0.00190259	0.000347363
8.7	8.8	0.0032344	0.000452906
8.8	8.9	0.00202943	0.000358755
8.9	9	0.00164891	0.000323378
9	9.1	0.00221969	0.000375195
9.1	9.2	0.00171233	0.000329538
9.2	9.3	0.00209285	0.000364318
9.3	9.4	0.00253678	0.000401101
9.4	9.5	0.00266362	0.000411006
9.5	9.6	0.00209285	0.000364318
9.6	9.7	0.00164891	0.000323378
9.7	9.8	0.00171233	0.000329538
9.8	9.9	0.00209285	0.000364318
9.9	10	0.00196601	0.000353105
10	10.1	0.00234652	0.000385766
10.1	10.2	0.00171233	0.000329538
10.2	10.3	0.00177575	0.000335585
10.3	10.4	0.00183917	0.000341525
10.4	10.5	0.00202943	0.000358755
10.5	10.6	0.00183917	0.000341525
10.6	10.7	0.00196601	0.000353105
10.7	10.8	0.00145865	0.00030415
10.8	10.9	0.00177575	0.000335585
10.9	11	0.00177575	0.000335585
11	11.1	0.00190259	0.000347363
11.1	11.2	0.00215627	0.000369797
11.2	11.3	0.00158549	0.000317098
11.3	11.4	0.000887874	0.000237294
11.4	11.5	0.00196601	0.000353105
11.5	11.6	0.00152207	0.000310691
11.6	11.7	0.00145865	0.00030415
11.7	11.8	0.00152207	0.000310691
11.8	11.9	0.00107813	0.000261486
11.9	12	0.00126839	0.000283621
12	12.1	0.00126839	0.000283621
12.1	12.2	0.00183917	0.000341525
12.2	12.3	0.00126839	0.000283621
12.3	12.4	0.00196601	0.000353105
12.4	12.5	0.00139523	0.000297464
12.5	12.6	0.00145865	0.00030415
12.6	12.7	0.00126839	0.000283621
12.7	12.8	0.00133181	0.000290625
12.8	12.9	0.00133181	0.000290625
12.9	13	0.000761035	0.000219692
13	13.1	0.00171233	0.000329538
13.1	13.2	0.00120497	0.00027644
13.2	13.3	0.00145865	0.00030415
13.3	13.4	0.00133181	0.000290625
13.4	13.5	0.00114155	0.000269067
13.5	13.6	0.00139523	0.000297464
13.6	13.7	0.000951294	0.000245623
13.7	13.8	0.00133181	0.000290625
13.8	13.9	0.00183917	0.000341525
13.9	14	0.00139523	0.000297464
14	14.1	0.00107813	0.000261486
14.1	14.2	0.000761035	0.000219692
14.2	14.3	0.00126839	0.000283621
14.3	14.4	0.000824455	0.000228663
14.4	14.5	0.000761035	0.000219692
14.5	14.6	0.00133181	0.000290625
14.6	14.7	0.000951294	0.000245623
14.7	14.8	0.000634196	0.00020055
14.8	14.9	0.00107813	0.000261486
14.9	15	0.00107813	0.000261486
15	15.1	0.00120497	0.00027644
15.1	15.2	0.00126839	0.000283621
15.2	15.3	0.000570776	0.000190259
15.3	15.4	0.00152207	0.000310691
15.4	15.5	0.000761035	0.000219692
15.5	15.6	0.00120497	0.00027644
15.6	15.7	0.000824455	0.000228663
15.7	15.8	0.00120497	0.00027644
15.8	15.9	0.000887874	0.000237294
15.9	16	0.000824455	0.000228663
16	16.1	0.00126839	0.000283621
16.1	16.2	0.000824455	0.000228663
16.2	16.3	0.000887874	0.000237294
16.3	16.4	0.000634196	0.00020055
16.4	16.5	0.00101471	0.000253678
16.5	16.6	0.00107813	0.000261486
16.6	16.7	0.000570776	0.000190259
16.7	16.8	0.000761035	0.000219692
16.8	16.9	0.00101471	0.000253678
16.9	17	0.000951294	0.000245623
17	17.1	0.000507357	0.000179378
17.1	17.2	0.00126839	0.000283621
17.2	17.3	0.00114155	0.000269067
17.3	17.4	0.00101471	0.000253678
17.4	17.5	0.000697615	0.000210339
17.5	17.6	0.00145865	0.00030415
17.6	17.7	0.000634196	0.00020055
17.7	17.8	0.00107813	0.000261486
17.8	17.9	0.000507357	0.000179378
17.9	18	0.000951294	0.000245623
18	18.1	0.000697615	0.000210339
18.1	18.2	0.000507357	0.000179378
18.2	18.3	0.00120497	0.00027644
18.3	18.4	0.000634196	0.00020055
18.4	18.5	0.000507357	0.000179378
18.5	18.6	0.000570776	0.000190259
18.6	18.7	0.00120497	0.00027644
18.7	18.8	0.000570776	0.000190259
18.8	18.9	0.00139523	0.000297464
18.9	19	0.000761035	0.000219692
19	19.1	0.000951294	0.000245623
19.1	19.2	0.000443937	0.000167792
19.2	19.3	0.000887874	0.000237294
19.3	19.4	0.000570776	0.000190259
19.4	19.5	0.000697615	0.000210339
19.5	19.6	0.000317098	0.000141811
19.6	19.7	0.00114155	0.000269067
19.7	19.8	0.000761035	0.000219692
19.8	19.9	0.000761035	0.000219692
19.9	20	0.000380518	0.000155346
