# BinLowEdge	BinHighEdge	BinContent	BinError
0	0.1	0	0
0.1	0.2	0	0
0.2	0.3	0	0
0.3	0.4	0	0
0.4	0.5	0	0
0.5	0.6	0	0
0.6	0.7	0	0
0.7	0.8	0	0
0.8	0.9	0	0
0.9	1	0	0
1	1.1	0	0
1.1	1.2	0	0
1.2	1.3	0	0
1.3	1.4	0	0
1.4	1.5	0	0
1.5	1.6	0	0
1.6	1.7	0	0
1.7	1.8	0.000317098	0.000141811
1.8	1.9	0.000317098	0.000141811
1.9	2	0.000317098	0.000141811
2	2.1	0.000634196	0.00020055
2.1	2.2	0.000380518	0.000155346
2.2	2.3	0.000190259	0.000109846
2.3	2.4	0.000443937	0.000167792
2.4	2.5	0.000507357	0.000179378
2.5	2.6	0.000317098	0.000141811
2.6	2.7	0.000380518	0.000155346
2.7	2.8	0.000380518	0.000155346
2.8	2.9	0.000507357	0.000179378
2.9	3	0.000443937	0.000167792
3	3.1	0.000253678	0.000126839
3.1	3.2	0.000126839	8.96888e-05
3.2	3.3	0.000443937	0.000167792
3.3	3.4	0.000761035	0.000219692
3.4	3.5	0.000380518	0.000155346
3.5	3.6	0.000317098	0.000141811
3.6	3.7	0.000126839	8.96888e-05
3.7	3.8	0.000126839	8.96888e-05
3.8	3.9	0.000317098	0.000141811
3.9	4	0.000443937	0.000167792
4	4.1	0.000380518	0.000155346
4.1	4.2	0.000126839	8.96888e-05
4.2	4.3	0.000570776	0.000190259
4.3	4.4	0.000507357	0.000179378
4.4	4.5	0.000570776	0.000190259
4.5	4.6	0.000126839	8.96888e-05
4.6	4.7	0.000126839	8.96888e-05
4.7	4.8	0.000253678	0.000126839
4.8	4.9	0.000570776	0.000190259
4.9	5	0.000317098	0.000141811
5	5.1	0.000443937	0.000167792
5.1	5.2	0.000443937	0.000167792
5.2	5.3	0.000317098	0.000141811
5.3	5.4	0.000317098	0.000141811
5.4	5.5	0.000253678	0.000126839
5.5	5.6	0.000443937	0.000167792
5.6	5.7	0.000253678	0.000126839
5.7	5.8	0.000317098	0.000141811
5.8	5.9	0.000126839	8.96888e-05
5.9	6	0.000380518	0.000155346
6	6.1	0.000380518	0.000155346
6.1	6.2	0.000190259	0.000109846
6.2	6.3	0.000697615	0.000210339
6.3	6.4	0.000507357	0.000179378
6.4	6.5	0.000253678	0.000126839
6.5	6.6	0.000253678	0.000126839
6.6	6.7	0.000317098	0.000141811
6.7	6.8	0.000253678	0.000126839
6.8	6.9	0.000443937	0.000167792
6.9	7	0.000570776	0.000190259
7	7.1	0.000253678	0.000126839
7.1	7.2	0.000570776	0.000190259
7.2	7.3	0.000570776	0.000190259
7.3	7.4	6.34196e-05	6.34196e-05
7.4	7.5	0.000253678	0.000126839
7.5	7.6	0.000317098	0.000141811
7.6	7.7	0.000190259	0.000109846
7.7	7.8	6.34196e-05	6.34196e-05
7.8	7.9	6.34196e-05	6.34196e-05
7.9	8	0.000190259	0.000109846
8	8.1	0.000190259	0.000109846
8.1	8.2	0.000443937	0.000167792
8.2	8.3	0.000380518	0.000155346
8.3	8.4	0.000380518	0.000155346
8.4	8.5	0.000126839	8.96888e-05
8.5	8.6	0.000570776	0.000190259
8.6	8.7	0.000507357	0.000179378
8.7	8.8	0.000570776	0.000190259
8.8	8.9	0.000380518	0.000155346
8.9	9	0.000317098	0.000141811
9	9.1	0.000317098	0.000141811
9.1	9.2	0.000380518	0.000155346
9.2	9.3	0.000317098	0.000141811
9.3	9.4	0.000507357	0.000179378
9.4	9.5	0.000380518	0.000155346
9.5	9.6	0.000507357	0.000179378
9.6	9.7	0.000634196	0.00020055
9.7	9.8	0.000190259	0.000109846
9.8	9.9	0.000317098	0.000141811
9.9	10	0.000190259	0.000109846
10	10.1	0.000190259	0.000109846
10.1	10.2	0.000253678	0.000126839
10.2	10.3	0.000253678	0.000126839
10.3	10.4	0.000380518	0.000155346
10.4	10.5	0.000253678	0.000126839
10.5	10.6	0.000253678	0.000126839
10.6	10.7	0.000380518	0.000155346
10.7	10.8	0.000570776	0.000190259
10.8	10.9	0.000507357	0.000179378
10.9	11	0.000443937	0.000167792
11	11.1	0.000190259	0.000109846
11.1	11.2	0.000380518	0.000155346
11.2	11.3	0.000317098	0.000141811
11.3	11.4	0.000317098	0.000141811
11.4	11.5	0.000380518	0.000155346
11.5	11.6	0.000253678	0.000126839
11.6	11.7	0.000570776	0.000190259
11.7	11.8	0.000507357	0.000179378
11.8	11.9	0.000380518	0.000155346
11.9	12	0.000380518	0.000155346
12	12.1	0.000443937	0.000167792
12.1	12.2	0.000317098	0.000141811
12.2	12.3	0.000570776	0.000190259
12.3	12.4	0.000443937	0.000167792
12.4	12.5	6.34196e-05	6.34196e-05
12.5	12.6	0.000317098	0.000141811
12.6	12.7	0.000443937	0.000167792
12.7	12.8	0.000380518	0.000155346
12.8	12.9	0.000253678	0.000126839
12.9	13	0.000380518	0.000155346
13	13.1	0.000126839	8.96888e-05
13.1	13.2	0.000126839	8.96888e-05
13.2	13.3	0.000317098	0.000141811
13.3	13.4	0.000253678	0.000126839
13.4	13.5	0.000507357	0.000179378
13.5	13.6	0.000570776	0.000190259
13.6	13.7	0.000253678	0.000126839
13.7	13.8	0.000507357	0.000179378
13.8	13.9	0.000443937	0.000167792
13.9	14	0.000190259	0.000109846
14	14.1	0.000253678	0.000126839
14.1	14.2	0.000380518	0.000155346
14.2	14.3	0.000697615	0.000210339
14.3	14.4	0.000380518	0.000155346
14.4	14.5	0.000380518	0.000155346
14.5	14.6	0.000317098	0.000141811
14.6	14.7	0.000317098	0.000141811
14.7	14.8	0.000317098	0.000141811
14.8	14.9	0.000507357	0.000179378
14.9	15	0.000253678	0.000126839
15	15.1	0.000570776	0.000190259
15.1	15.2	0.000317098	0.000141811
15.2	15.3	0.000507357	0.000179378
15.3	15.4	0.000634196	0.00020055
15.4	15.5	0.000380518	0.000155346
15.5	15.6	0.000317098	0.000141811
15.6	15.7	0.000317098	0.000141811
15.7	15.8	0.000443937	0.000167792
15.8	15.9	0.000317098	0.000141811
15.9	16	0.000317098	0.000141811
16	16.1	0.000443937	0.000167792
16.1	16.2	0.000190259	0.000109846
16.2	16.3	0.000253678	0.000126839
16.3	16.4	0.000380518	0.000155346
16.4	16.5	0.000317098	0.000141811
16.5	16.6	0.000317098	0.000141811
16.6	16.7	0.000253678	0.000126839
16.7	16.8	0.000190259	0.000109846
16.8	16.9	0.000253678	0.000126839
16.9	17	0.000317098	0.000141811
17	17.1	0.000507357	0.000179378
17.1	17.2	0.000570776	0.000190259
17.2	17.3	0.000380518	0.000155346
17.3	17.4	0.000443937	0.000167792
17.4	17.5	0.000380518	0.000155346
17.5	17.6	0.000253678	0.000126839
17.6	17.7	0.000507357	0.000179378
17.7	17.8	0.000380518	0.000155346
17.8	17.9	0.000253678	0.000126839
17.9	18	0.000443937	0.000167792
18	18.1	0.000190259	0.000109846
18.1	18.2	0.000317098	0.000141811
18.2	18.3	0.000380518	0.000155346
18.3	18.4	0.000317098	0.000141811
18.4	18.5	0.000380518	0.000155346
18.5	18.6	0.000190259	0.000109846
18.6	18.7	0.000317098	0.000141811
18.7	18.8	0.000570776	0.000190259
18.8	18.9	0.000380518	0.000155346
18.9	19	0.000190259	0.000109846
19	19.1	0.000190259	0.000109846
19.1	19.2	0.000380518	0.000155346
19.2	19.3	0.000380518	0.000155346
19.3	19.4	0.000317098	0.000141811
19.4	19.5	0.000126839	8.96888e-05
19.5	19.6	0.000443937	0.000167792
19.6	19.7	0.000507357	0.000179378
19.7	19.8	0.000570776	0.000190259
19.8	19.9	0.000570776	0.000190259
19.9	20	0.000126839	8.96888e-05
