# BinLowEdge	BinHighEdge	BinContent	BinError
0	0.1	0	0
0.1	0.2	0	0
0.2	0.3	0	0
0.3	0.4	0	0
0.4	0.5	0	0
0.5	0.6	0	0
0.6	0.7	0	0
0.7	0.8	0	0
0.8	0.9	0	0
0.9	1	0	0
1	1.1	0	0
1.1	1.2	0	0
1.2	1.3	0	0
1.3	1.4	0	0
1.4	1.5	0	0
1.5	1.6	0	0
1.6	1.7	0	0
1.7	1.8	0.000358629	0.000253589
1.8	1.9	0.000179314	0.000179314
1.9	2	0.000717257	0.000358629
2	2.1	0.000358629	0.000253589
2.1	2.2	0.000179314	0.000179314
2.2	2.3	0.000179314	0.000179314
2.3	2.4	0.000537943	0.000310581
2.4	2.5	0	0
2.5	2.6	0.000358629	0.000253589
2.6	2.7	0.000358629	0.000253589
2.7	2.8	0	0
2.8	2.9	0.000537943	0.000310581
2.9	3	0.000179314	0.000179314
3	3.1	0	0
3.1	3.2	0	0
3.2	3.3	0	0
3.3	3.4	0.000537943	0.000310581
3.4	3.5	0.000179314	0.000179314
3.5	3.6	0.000358629	0.000253589
3.6	3.7	0.000537943	0.000310581
3.7	3.8	0	0
3.8	3.9	0.000179314	0.000179314
3.9	4	0.000179314	0.000179314
4	4.1	0.000179314	0.000179314
4.1	4.2	0.000179314	0.000179314
4.2	4.3	0.000179314	0.000179314
4.3	4.4	0.000179314	0.000179314
4.4	4.5	0.000179314	0.000179314
4.5	4.6	0	0
4.6	4.7	0.000358629	0.000253589
4.7	4.8	0.000179314	0.000179314
4.8	4.9	0.000537943	0.000310581
4.9	5	0.000179314	0.000179314
5	5.1	0.000179314	0.000179314
5.1	5.2	0	0
5.2	5.3	0.000358629	0.000253589
5.3	5.4	0	0
5.4	5.5	0.000179314	0.000179314
5.5	5.6	0.000179314	0.000179314
5.6	5.7	0.000179314	0.000179314
5.7	5.8	0.000179314	0.000179314
5.8	5.9	0.000179314	0.000179314
5.9	6	0.000358629	0.000253589
6	6.1	0	0
6.1	6.2	0.000717257	0.000358629
6.2	6.3	0.000358629	0.000253589
6.3	6.4	0	0
6.4	6.5	0	0
6.5	6.6	0.000179314	0.000179314
6.6	6.7	0.000358629	0.000253589
6.7	6.8	0.000179314	0.000179314
6.8	6.9	0.000537943	0.000310581
6.9	7	0.000537943	0.000310581
7	7.1	0.000179314	0.000179314
7.1	7.2	0.000537943	0.000310581
7.2	7.3	0.000179314	0.000179314
7.3	7.4	0.000358629	0.000253589
7.4	7.5	0.000179314	0.000179314
7.5	7.6	0	0
7.6	7.7	0	0
7.7	7.8	0	0
7.8	7.9	0.000358629	0.000253589
7.9	8	0.000358629	0.000253589
8	8.1	0.000179314	0.000179314
8.1	8.2	0	0
8.2	8.3	0	0
8.3	8.4	0	0
8.4	8.5	0.000358629	0.000253589
8.5	8.6	0.000358629	0.000253589
8.6	8.7	0.000537943	0.000310581
8.7	8.8	0.000537943	0.000310581
8.8	8.9	0	0
8.9	9	0.000358629	0.000253589
9	9.1	0.000537943	0.000310581
9.1	9.2	0.000179314	0.000179314
9.2	9.3	0.000179314	0.000179314
9.3	9.4	0.000179314	0.000179314
9.4	9.5	0.000358629	0.000253589
9.5	9.6	0.000179314	0.000179314
9.6	9.7	0.000179314	0.000179314
9.7	9.8	0.000179314	0.000179314
9.8	9.9	0	0
9.9	10	0.000896572	0.000400959
10	10.1	0.000179314	0.000179314
10.1	10.2	0.000537943	0.000310581
10.2	10.3	0.000358629	0.000253589
10.3	10.4	0.000179314	0.000179314
10.4	10.5	0.000179314	0.000179314
10.5	10.6	0.000358629	0.000253589
10.6	10.7	0.000358629	0.000253589
10.7	10.8	0.000358629	0.000253589
10.8	10.9	0.000358629	0.000253589
10.9	11	0.000179314	0.000179314
11	11.1	0.000358629	0.000253589
11.1	11.2	0.000179314	0.000179314
11.2	11.3	0.000537943	0.000310581
11.3	11.4	0.000717257	0.000358629
11.4	11.5	0.000537943	0.000310581
11.5	11.6	0.000179314	0.000179314
11.6	11.7	0.000358629	0.000253589
11.7	11.8	0.000358629	0.000253589
11.8	11.9	0.000179314	0.000179314
11.9	12	0	0
12	12.1	0.000717257	0.000358629
12.1	12.2	0.000179314	0.000179314
12.2	12.3	0.000179314	0.000179314
12.3	12.4	0.000358629	0.000253589
12.4	12.5	0.000358629	0.000253589
12.5	12.6	0.000179314	0.000179314
12.6	12.7	0.000896572	0.000400959
12.7	12.8	0.000537943	0.000310581
12.8	12.9	0.000179314	0.000179314
12.9	13	0	0
13	13.1	0	0
13.1	13.2	0.000537943	0.000310581
13.2	13.3	0.000896572	0.000400959
13.3	13.4	0.000358629	0.000253589
13.4	13.5	0.000179314	0.000179314
13.5	13.6	0.000896572	0.000400959
13.6	13.7	0	0
13.7	13.8	0	0
13.8	13.9	0.000358629	0.000253589
13.9	14	0.000358629	0.000253589
14	14.1	0.000358629	0.000253589
14.1	14.2	0.000358629	0.000253589
14.2	14.3	0	0
14.3	14.4	0	0
14.4	14.5	0.000537943	0.000310581
14.5	14.6	0.000358629	0.000253589
14.6	14.7	0.000358629	0.000253589
14.7	14.8	0.000179314	0.000179314
14.8	14.9	0.000179314	0.000179314
14.9	15	0.000179314	0.000179314
15	15.1	0.000179314	0.000179314
15.1	15.2	0.000896572	0.000400959
15.2	15.3	0.000179314	0.000179314
15.3	15.4	0.000358629	0.000253589
15.4	15.5	0	0
15.5	15.6	0.000717257	0.000358629
15.6	15.7	0.00107589	0.000439229
15.7	15.8	0.000358629	0.000253589
15.8	15.9	0.000179314	0.000179314
15.9	16	0.000358629	0.000253589
16	16.1	0.000179314	0.000179314
16.1	16.2	0.000358629	0.000253589
16.2	16.3	0.000358629	0.000253589
16.3	16.4	0.000179314	0.000179314
16.4	16.5	0.000717257	0.000358629
16.5	16.6	0.000717257	0.000358629
16.6	16.7	0.000179314	0.000179314
16.7	16.8	0.000179314	0.000179314
16.8	16.9	0.000358629	0.000253589
16.9	17	0	0
17	17.1	0	0
17.1	17.2	0.000358629	0.000253589
17.2	17.3	0.00107589	0.000439229
17.3	17.4	0	0
17.4	17.5	0.000717257	0.000358629
17.5	17.6	0.000358629	0.000253589
17.6	17.7	0	0
17.7	17.8	0.000358629	0.000253589
17.8	17.9	0.000717257	0.000358629
17.9	18	0.000537943	0.000310581
18	18.1	0.000358629	0.000253589
18.1	18.2	0.000179314	0.000179314
18.2	18.3	0.000358629	0.000253589
18.3	18.4	0.000179314	0.000179314
18.4	18.5	0.000358629	0.000253589
18.5	18.6	0.000358629	0.000253589
18.6	18.7	0.000179314	0.000179314
18.7	18.8	0.000717257	0.000358629
18.8	18.9	0.000179314	0.000179314
18.9	19	0.000179314	0.000179314
19	19.1	0.000717257	0.000358629
19.1	19.2	0.000537943	0.000310581
19.2	19.3	0	0
19.3	19.4	0.000358629	0.000253589
19.4	19.5	0.000179314	0.000179314
19.5	19.6	0.000537943	0.000310581
19.6	19.7	0.000717257	0.000358629
19.7	19.8	0.000717257	0.000358629
19.8	19.9	0.000717257	0.000358629
19.9	20	0.000717257	0.000358629
